date,slight,serious,total_vehicle_num,most_collision
2017-04-30T01:00Z,82,12,193328,croydon collision
2017-05-01T01:00Z,61,12,96508,newham collision
2017-05-02T01:00Z,76,8,235997,barnet collision
2017-05-03T01:00Z,83,7,183789,lewisham collision
2017-05-04T01:00Z,73,7,22671,hammersmith and fulham collision
2017-05-05T01:00Z,63,16,70366,barnet collision
2017-05-06T01:00Z,64,12,148540,lambeth collision
2017-05-07T01:00Z,61,8,136310,barnet collision
2017-05-08T01:00Z,89,9,377004,southwark collision
2017-05-09T01:00Z,91,13,373597,redbridge collision
2017-05-10T01:00Z,79,8,204257,greenwich collision
2017-05-11T01:00Z,83,13,374242,barnet collision
2017-05-12T01:00Z,90,18,312658,hackney collision
2017-05-13T01:00Z,82,8,326987,enfield collision
2017-05-14T01:00Z,53,7,72616,lambeth collision
2017-05-15T01:00Z,78,6,696381,lambeth collision
2017-05-16T01:00Z,101,10,150569,barnet collision
2017-05-17T01:00Z,80,5,375671,camden collision
2017-05-18T01:00Z,87,11,492802,brent collision
2017-05-19T01:00Z,88,14,359764,southwark collision
2017-05-20T01:00Z,66,11,220652,haringey collision
2017-05-21T01:00Z,58,14,728127,havering collision
2017-05-22T01:00Z,77,9,150249,haringey collision
2017-05-23T01:00Z,76,12,672645,greenwich collision
2017-05-24T01:00Z,86,14,291995,tower hamlets collision
2017-05-25T01:00Z,108,13,218207,hillingdon collision
2017-05-26T01:00Z,99,19,517246,southwark collision
2017-05-27T01:00Z,71,8,379063,barking and dagenham collision
2017-05-28T01:00Z,65,9,272916,southwark collision
2017-05-29T01:00Z,41,6,288781,southwark collision
2017-05-30T01:00Z,71,14,320551,newham collision
2017-05-31T01:00Z,58,6,715298,hounslow collision
2017-06-01T01:00Z,82,13,124165,lewisham collision
2017-06-02T01:00Z,83,6,481356,haringey collision
2017-06-03T01:00Z,74,7,136078,lambeth collision
2017-06-04T01:00Z,65,11,314184,wandsworth collision
2017-06-05T01:00Z,70,6,255638,tower hamlets collision
2017-06-06T01:00Z,88,10,311207,haringey collision
2017-06-07T01:00Z,83,19,330980,wandsworth collision
2017-06-08T01:00Z,83,9,311010,ealing collision
2017-06-09T01:00Z,78,13,177224,hammersmith and fulham collision
2017-06-10T01:00Z,70,15,516007,lambeth collision
2017-06-11T01:00Z,48,6,227489,croydon collision
2017-06-12T01:00Z,90,9,246996,greenwich collision
2017-06-13T01:00Z,80,8,185015,wandsworth collision
2017-06-14T01:00Z,90,9,247908,enfield collision
2017-06-15T01:00Z,83,17,382684,richmond upon thames collision
2017-06-16T01:00Z,96,8,215328,barking and dagenham collision
2017-06-17T01:00Z,92,13,627320,ealing collision
2017-06-18T01:00Z,70,10,522375,bexley collision
2017-06-19T01:00Z,91,16,334668,newham collision
2017-06-20T01:00Z,114,15,761522,croydon collision
2017-06-21T01:00Z,89,19,281282,kensington an chelsea collision
2017-06-22T01:00Z,78,10,222639,camden collision
2017-06-23T01:00Z,98,11,179491,wandsworth collision
2017-06-24T01:00Z,70,13,457591,ealing collision
2017-06-25T01:00Z,79,21,134922,greenwich collision
2017-06-26T01:00Z,108,14,209724,redbridge collision
2017-06-27T01:00Z,91,8,273737,barnet collision
2017-06-28T01:00Z,77,11,251739,enfield collision
2017-06-29T01:00Z,83,11,157575,lewisham collision
2017-06-30T01:00Z,92,21,296771,lambeth collision
2017-07-01T01:00Z,70,13,274795,ealing collision
2017-07-02T01:00Z,105,16,207348,hounslow collision
2017-07-03T01:00Z,91,16,560947,croydon collision
2017-07-04T01:00Z,99,13,407308,hackney collision
2017-07-05T01:00Z,117,17,137500,lambeth collision
2017-07-06T01:00Z,107,14,85618,kensington an chelsea collision
2017-07-07T01:00Z,131,14,234416,tower hamlets collision
2017-07-08T01:00Z,78,7,387647,newham collision
2017-07-09T01:00Z,79,7,155942,haringey collision
2017-07-10T01:00Z,73,16,164500,lewisham collision
2017-07-11T01:00Z,104,9,141312,hammersmith and fulham collision
2017-07-12T01:00Z,92,19,668462,hillingdon collision
2017-07-13T01:00Z,89,12,140972,newham collision
2017-07-14T01:00Z,89,12,106943,hackney collision
2017-07-15T01:00Z,96,16,79396,waltham forest collision
2017-07-16T01:00Z,69,6,353997,ealing collision
2017-07-17T01:00Z,88,12,116799,brent collision
2017-07-18T01:00Z,90,8,328643,haringey collision
2017-07-19T01:00Z,70,11,46268,tower hamlets collision
2017-07-20T01:00Z,64,10,236656,haringey collision
2017-07-21T01:00Z,100,14,251723,croydon collision
2017-07-22T01:00Z,96,18,148568,haringey collision
2017-07-23T01:00Z,60,11,318963,haringey collision
2017-07-24T01:00Z,65,6,322135,ealing collision
2017-07-25T01:00Z,83,4,215665,sutton collision
2017-07-26T01:00Z,70,8,130818,newham collision
2017-07-27T01:00Z,70,10,44163,enfield collision
2017-07-28T01:00Z,66,8,209806,brent collision
2017-07-29T01:00Z,98,12,199945,islington collision
2017-07-30T01:00Z,49,8,45983,tower hamlets collision
2017-07-31T01:00Z,61,8,110536,enfield collision
2017-08-01T01:00Z,68,11,455947,lambeth collision
2017-08-02T01:00Z,74,6,56641,hackney collision
2017-08-03T01:00Z,59,8,451363,haringey collision
2017-08-04T01:00Z,63,9,109600,ealing collision
2017-08-05T01:00Z,65,12,668497,newham collision
2017-08-06T01:00Z,57,6,107350,camden collision
2017-08-07T01:00Z,57,10,291068,greenwich collision
2017-08-08T01:00Z,60,2,106260,ealing collision
2017-08-09T01:00Z,68,6,281280,bromley collision
2017-08-10T01:00Z,75,9,178256,wandsworth collision
2017-08-11T01:00Z,77,6,305709,hackney collision
2017-08-12T01:00Z,67,9,314847,brent collision
2017-08-13T01:00Z,73,11,365498,southwark collision
2017-08-14T01:00Z,80,11,75483,hounslow collision
2017-08-15T01:00Z,71,8,204727,sutton collision
2017-08-16T01:00Z,84,6,164547,islington collision
2017-08-17T01:00Z,89,5,358491,tower hamlets collision
2017-08-18T01:00Z,76,5,76806,croydon collision
2017-08-19T01:00Z,60,12,119145,barnet collision
2017-08-20T01:00Z,59,7,662552,brent collision
2017-08-21T01:00Z,53,7,1038206,kensington an chelsea collision
2017-08-22T01:00Z,67,10,102592,islington collision
2017-08-23T01:00Z,79,8,146868,enfield collision
2017-08-24T01:00Z,75,10,59928,brent collision
2017-08-25T01:00Z,87,12,50435,hounslow collision
2017-08-26T01:00Z,57,7,248459,kingston upon thames collision
2017-08-27T01:00Z,85,7,62704,hounslow collision
2017-08-28T01:00Z,48,8,218641,hillingdon collision
2017-08-29T01:00Z,80,15,457238,waltham forest collision
2017-08-30T01:00Z,82,6,149353,barnet collision
2017-08-31T01:00Z,67,12,84921,enfield collision
2017-09-01T01:00Z,80,7,481548,barking and dagenham collision
2017-09-02T01:00Z,70,13,643693,hillingdon collision
2017-09-03T01:00Z,69,7,186697,ealing collision
2017-09-04T01:00Z,67,16,659707,barnet collision
2017-09-05T01:00Z,53,15,321210,barnet collision
2017-09-06T01:00Z,89,13,194252,camden collision
2017-09-07T01:00Z,62,10,278266,barnet collision
