date,slight,serious,total_casualties
2017-09-03,69,7,76
2017-09-04,67,16,83
2017-09-05,53,15,68
2017-09-06,89,13,102
2017-09-07,62,10,72
2017-09-08,87,11,98
2017-09-09,81,11,92
2017-09-10,59,7,66
2017-09-11,81,5,86
2017-09-12,83,16,99
2017-09-13,89,14,103
2017-09-14,78,4,82
2017-09-15,84,17,101
2017-09-16,75,9,84
2017-09-17,51,11,62
2017-09-18,87,10,97
2017-09-19,74,13,87
2017-09-20,80,11,91
2017-09-21,96,7,103
2017-09-22,100,11,111
2017-09-23,65,6,71
2017-09-24,74,10,84
2017-09-25,65,11,76
2017-09-26,82,11,93
2017-09-27,121,22,143
2017-09-28,107,11,118
2017-09-29,100,7,107
2017-09-30,79,6,85
2017-10-01,57,9,66
2017-10-02,70,12,82
2017-10-03,95,11,106
2017-10-04,88,7,95
2017-10-05,90,8,98
2017-10-06,107,14,121
2017-10-07,88,9,97
2017-10-08,68,6,74
2017-10-09,60,11,71
2017-10-10,94,6,100
2017-10-11,95,11,106
2017-10-12,91,13,104
2017-10-13,90,14,104
2017-10-14,93,7,100
2017-10-15,62,9,71
2017-10-16,61,8,69
2017-10-17,89,11,100
2017-10-18,102,15,117
2017-10-19,97,16,113
2017-10-20,93,12,105
2017-10-21,84,14,98
2017-10-22,71,12,83
2017-10-23,58,19,77
2017-10-24,73,9,82
2017-10-25,83,14,97
2017-10-26,88,10,98
2017-10-27,77,15,92
2017-10-28,89,13,102
2017-10-29,65,6,71
2017-10-30,71,9,80
2017-10-31,77,17,94
2017-11-01,78,18,96
2017-11-02,70,15,85
2017-11-03,102,17,119
2017-11-04,70,9,79
2017-11-05,76,8,84
2017-11-06,97,13,110
2017-11-07,108,18,126
2017-11-08,95,13,108
2017-11-09,97,6,103
2017-11-10,99,7,106
2017-11-11,106,7,113
2017-11-12,48,15,63
2017-11-13,84,9,93
2017-11-14,72,10,82
2017-11-15,79,14,93
2017-11-16,73,11,84
2017-11-17,100,16,116
2017-11-18,100,11,111
2017-11-19,70,7,77
2017-11-20,75,4,79
2017-11-21,63,11,74
2017-11-22,82,16,98
2017-11-23,86,18,104
2017-11-24,78,12,90
2017-11-25,101,11,112
2017-11-26,74,6,80
2017-11-27,98,11,109
2017-11-28,82,9,91
2017-11-29,87,11,98
2017-11-30,83,8,91
2017-12-01,110,9,119
2017-12-02,75,8,83
2017-12-03,58,4,62
2017-12-04,73,11,84
2017-12-05,92,14,106
2017-12-06,87,14,101
2017-12-07,103,14,117
2017-12-08,83,13,96
2017-12-09,94,7,101
2017-12-10,58,2,60
2017-12-11,69,8,77
2017-12-12,90,15,105
2017-12-13,89,6,95
2017-12-14,96,12,108
2017-12-15,99,16,115
2017-12-16,77,10,87
2017-12-17,67,10,77
2017-12-18,104,11,115
2017-12-19,76,9,85
2017-12-20,66,9,75
2017-12-21,68,13,81
2017-12-22,75,14,89
2017-12-23,47,5,52
2017-12-24,48,4,52
2017-12-25,28,6,34
2017-12-26,69,3,72
2017-12-27,59,5,64
2017-12-28,50,9,59
2017-12-29,49,2,51
2017-12-30,68,9,77
2017-12-31,47,3,50
2018-01-01,55,13,68
2018-01-02,50,6,56
2018-01-03,49,8,57
2018-01-04,58,7,65
2018-01-05,61,8,69
2018-01-06,56,13,69
2018-01-07,46,7,53
2018-01-08,66,7,73
2018-01-09,75,12,87
2018-01-10,68,12,80
2018-01-11,69,8,77
2018-01-12,73,18,91
2018-01-13,54,9,63
2018-01-14,66,10,76
2018-01-15,69,8,77
2018-01-16,84,10,94
2018-01-17,83,8,91
2018-01-18,93,7,100
2018-01-19,98,7,105
2018-01-20,88,8,96
2018-01-21,51,9,60
2018-01-22,72,7,79
2018-01-23,72,11,83
2018-01-24,90,10,100
2018-01-25,85,12,97
2018-01-26,69,20,89
2018-01-27,68,6,74
2018-01-28,56,10,66
2018-01-29,81,5,86
2018-01-30,69,8,77
2018-01-31,90,4,94
2018-02-01,97,17,114
2018-02-02,92,5,97
2018-02-03,69,9,78
2018-02-04,49,8,57
2018-02-05,77,7,84
2018-02-06,53,9,62
2018-02-07,69,12,81
2018-02-08,62,8,70
2018-02-09,80,8,88
2018-02-10,72,4,76
2018-02-11,65,5,70
2018-02-12,66,21,87
2018-02-13,86,9,95
2018-02-14,86,8,94
2018-02-15,69,8,77
2018-02-16,71,14,85
2018-02-17,96,8,104
2018-02-18,67,7,74
2018-02-19,65,8,73
2018-02-20,63,7,70
2018-02-21,77,11,88
2018-02-22,61,11,72
2018-02-23,88,14,102
2018-02-24,77,6,83
2018-02-25,52,9,61
2018-02-26,57,9,66
2018-02-27,62,14,76
2018-02-28,50,5,55
2018-03-01,32,3,35
2018-03-02,56,2,58
2018-03-03,48,8,56
2018-03-04,33,11,44
2018-03-05,63,12,75
2018-03-06,66,13,79
2018-03-07,65,6,71
2018-03-08,80,17,97
2018-03-09,81,9,90
2018-03-10,64,8,72
2018-03-11,51,11,62
2018-03-12,63,11,74
2018-03-13,71,10,81
2018-03-14,77,7,84
2018-03-15,67,13,80
2018-03-16,79,13,92
2018-03-17,66,10,76
2018-03-18,46,11,57
2018-03-19,44,7,51
2018-03-20,75,9,84
2018-03-21,87,13,100
2018-03-22,56,6,62
2018-03-23,76,9,85
2018-03-24,81,9,90
2018-03-25,58,10,68
2018-03-26,68,7,75
2018-03-27,65,10,75
2018-03-28,57,13,70
2018-03-29,91,8,99
2018-03-30,56,6,62
2018-03-31,49,10,59
2018-04-01,48,5,53
2018-04-02,39,7,46
2018-04-03,51,6,57
2018-04-04,34,4,38
2018-04-05,83,19,102
2018-04-06,66,6,72
2018-04-07,73,10,83
2018-04-08,64,6,70
2018-04-09,57,6,63
2018-04-10,56,5,61
2018-04-11,62,17,79
2018-04-12,59,8,67
2018-04-13,64,11,75
2018-04-14,71,10,81
2018-04-15,55,8,63
2018-04-16,70,5,75
2018-04-17,63,11,74
2018-04-18,98,22,120
2018-04-19,81,16,97
2018-04-20,78,11,89
2018-04-21,115,18,133
2018-04-22,58,5,63
2018-04-23,79,15,94
2018-04-24,78,12,90
2018-04-25,85,14,99
2018-04-26,71,15,86
2018-04-27,97,13,110
2018-04-28,79,17,96
2018-04-29,50,3,53
2018-04-30,66,4,70
2018-05-01,74,14,88
2018-05-02,94,10,104
2018-05-03,88,14,102
2018-05-04,97,14,111
2018-05-05,61,13,74
2018-05-06,54,12,66
2018-05-07,71,10,81
2018-05-08,100,16,116
2018-05-09,77,12,89
2018-05-10,77,13,90
2018-05-11,82,7,89
2018-05-12,98,10,108
2018-05-13,65,5,70
2018-05-14,80,8,88
2018-05-15,74,16,90
2018-05-16,81,10,91
2018-05-17,98,12,110
2018-05-18,85,17,102
2018-05-19,89,17,106
2018-05-20,59,13,72
2018-05-21,67,12,79
2018-05-22,81,15,96
2018-05-23,88,11,99
2018-05-24,52,12,64
2018-05-25,103,20,123
2018-05-26,78,11,89
2018-05-27,75,2,77
2018-05-28,53,9,62
2018-05-29,91,10,101
2018-05-30,64,13,77
2018-05-31,58,9,67
2018-06-01,78,9,87
2018-06-02,46,6,52
2018-06-03,68,6,74
2018-06-04,59,8,67
2018-06-05,77,11,88
2018-06-06,86,17,103
2018-06-07,72,11,83
2018-06-08,78,10,88
2018-06-09,75,5,80
2018-06-10,59,10,69
2018-06-11,102,15,117
2018-06-12,74,12,86
2018-06-13,68,2,70
2018-06-14,97,16,113
2018-06-15,73,16,89
2018-06-16,90,9,99
2018-06-17,55,7,62
2018-06-18,75,12,87
2018-06-19,74,20,94
2018-06-20,79,12,91
2018-06-21,122,13,135
2018-06-22,79,16,95
2018-06-23,64,20,84
2018-06-24,85,14,99
2018-06-25,104,11,115
2018-06-26,109,7,116
2018-06-27,90,19,109
2018-06-28,66,15,81
2018-06-29,131,12,143
2018-06-30,87,17,104
2018-07-01,62,20,82
2018-07-02,98,15,113
2018-07-03,101,9,110
2018-07-04,81,9,90
2018-07-05,85,15,100
2018-07-06,78,21,99
2018-07-07,72,10,82
2018-07-08,74,10,84
2018-07-09,74,8,82
2018-07-10,101,23,124
2018-07-11,93,15,108
2018-07-12,82,17,99
2018-07-13,97,18,115
