date,slight,serious,total_vehicle_num
2018-10-12,744,144,328643.0
2018-10-15,240,96,46268.0
2018-10-16,648,120,236656.0
2018-10-17,888,72,251723.0
2018-10-18,432,120,148568.0
2018-10-19,432,180,318963.0
2018-10-29,588,168,322135.0
2018-10-30,168,72,215665.0
2018-10-31,144,24,130818.0
2018-11-01,72,0,44163.0
2018-11-02,408,96,209806.0
2019-03-15,816,72,199945.0
2019-03-18,144,48,45983.0
2019-03-19,96,0,110536.0
2019-03-20,384,72,455947.0
2019-03-21,144,48,56641.0
2019-03-22,576,72,451363.0
2019-03-25,336,0,109600.0
2019-03-26,288,48,668497.0
2019-03-27,192,0,107350.0
2019-03-28,264,48,291068.0
2019-03-29,456,120,106260.0
2019-04-01,312,48,281280.0
2019-04-02,336,0,178256.0
2019-04-03,264,96,305709.0
2019-04-04,564,108,314847.0
2019-04-05,264,24,365498.0
2019-04-23,372,24,75483.0
2019-04-24,360,72,204727.0
2019-04-25,408,24,164547.0
2019-04-26,624,120,358491.0
2019-04-29,120,72,76806.0
2019-04-30,288,168,119145.0
2019-05-01,528,24,662552.0
2019-05-03,600,120,1038206.0
2019-05-07,552,72,102592.0
2019-05-08,372,24,146868.0
2019-05-09,336,48,59928.0
2019-05-10,72,48,50435.0
2019-05-13,720,48,248459.0
2019-05-14,528,48,62704.0
2019-05-15,552,120,218641.0
2019-05-16,456,192,457238.0
2019-05-17,312,24,149353.0
2019-05-20,240,24,84921.0
2019-05-21,816,144,481548.0
2019-05-22,480,216,643693.0
2019-05-23,552,96,186697.0
2019-05-24,1368,144,659707.0
2019-06-03,384,48,321210.0
2019-06-04,288,96,194252.0
2019-06-05,312,0,278266.0
2019-06-06,768,72,174138.0
2019-06-07,888,120,205276.0
2019-06-11,240,48,94543.0
2019-06-12,660,72,134416.0
2019-06-13,1008,168,672677.0
2019-06-14,312,24,135640.0
2019-06-17,480,24,91030.0
2019-06-18,552,72,407612.0
2019-06-19,720,120,188256.0
2019-06-20,408,72,231106.0
2019-06-21,504,72,128538.0
2019-06-24,744,48,101907.0
2019-06-25,480,48,201676.0
2019-06-26,744,72,57125.0
2019-06-27,504,72,331739.0
2019-06-28,696,24,264393.0
2019-07-01,456,72,212913.0
2019-07-02,528,48,941069.0
2019-07-03,408,144,513827.0
2019-07-04,504,24,537909.0
2019-07-05,576,144,365603.0
2019-07-08,552,48,135291.0
2019-07-09,408,24,525706.0
2019-07-10,744,240,202197.0
2019-07-11,744,120,403978.0
2019-07-12,1008,72,479227.0
2019-07-15,648,0,98598.0
2019-07-16,72,48,39092.0
2019-07-17,408,48,348438.0
2019-07-18,480,120,50685.0
2019-07-19,372,24,181127.0
2019-09-04,264,96,64411.0
2019-09-05,408,48,366836.0
2019-09-06,264,120,108187.0
2019-09-09,792,48,195553.0
2019-09-10,504,144,325050.0
2019-09-11,672,96,270694.0
2019-09-12,648,120,132331.0
2019-09-13,456,48,295984.0
2019-09-16,240,48,60330.0
2019-09-17,384,108,434369.0
2019-09-18,744,72,620068.0
2019-09-19,768,48,220900.0
2019-09-20,720,144,609050.0
2019-09-23,984,168,1377433.0
2019-09-24,504,120,172350.0
2019-09-25,144,24,92718.0
2019-09-26,456,48,43447.0
2019-09-27,624,96,102417.0
2019-09-30,768,72,95790.0
2019-10-01,456,48,62623.0
2019-10-02,816,72,240710.0
2019-10-03,456,48,98113.0
2019-10-04,672,96,274495.0
2019-10-07,432,96,96865.0
2019-10-08,912,144,235872.0
2019-10-09,384,48,86647.0
2019-10-10,576,96,64821.0
2019-10-11,432,24,258682.0
2019-10-15,600,48,90809.0
2019-10-16,792,48,159429.0
2019-10-17,456,96,150984.0
2019-10-18,576,120,526648.0
2019-11-04,168,24,186907.0
2019-11-05,72,0,28071.0
2019-11-06,24,0,7754.0
2019-11-07,48,0,24900.0
2020-03-23,48,0,16140.0
2020-04-20,120,0,138833.0
2020-04-21,96,0,81854.0
2020-04-22,96,48,146543.0
2020-04-23,72,24,41482.0
2020-04-24,168,0,217636.0
2020-04-27,108,0,50372.0
2020-04-28,120,48,99980.0
2020-04-29,72,0,105936.0
2020-04-30,72,24,72180.0
2020-05-01,0,24,1119.0
2020-05-06,96,0,64467.0
2020-05-07,120,24,43242.0
2020-05-12,336,0,67546.0
2020-05-13,216,24,84858.0
2020-05-14,168,24,186891.0
2020-05-15,168,0,288591.0
2020-05-18,48,0,3586.0
2020-05-19,96,72,6976.0
2020-05-20,252,0,32033.0
2020-05-21,120,0,48251.0
2020-05-22,264,24,200839.0
2020-06-01,180,0,43978.0
2020-06-02,72,96,24134.0
2020-06-03,480,24,176722.0
2020-06-04,168,24,32150.0
2020-06-05,360,0,215551.0
2020-06-08,96,24,100125.0
2020-06-09,192,24,58049.0
2020-06-10,168,48,52334.0
2020-06-11,492,48,228550.0
2020-06-12,192,0,196523.0
2020-06-15,192,0,450784.0
2020-06-16,192,24,148222.0
2020-06-17,192,72,285547.0
2020-06-18,384,24,1052247.0
2020-06-19,288,24,141911.0
2020-06-22,48,0,28058.0
2020-06-23,228,24,337907.0
2020-06-24,396,0,423714.0
2020-06-25,372,96,542714.0
2020-06-26,780,48,617462.0
2020-06-29,72,24,65448.0
2020-06-30,84,48,91723.0
2020-07-01,228,60,465878.0
2020-07-02,192,0,3522.0
2020-07-03,144,24,85031.0
2020-07-06,72,72,43685.0
2020-07-07,48,0,149700.0
2020-07-08,120,0,24036.0
2020-07-09,48,0,129084.0
2020-07-10,180,60,57592.0
2020-07-13,180,12,102746.0
2020-07-14,144,0,213568.0
2020-07-15,144,24,351931.0
2020-07-16,36,12,33297.0
2020-07-17,252,24,290887.0
2020-07-21,204,144,289934.0
2020-09-03,96,24,40097.0
2020-09-04,288,0,203836.0
2020-09-07,288,96,112561.0
2020-09-08,216,48,108408.0
2020-09-09,336,24,329258.0
2020-09-10,312,48,436870.0
2020-09-11,336,192,291758.0
2020-09-14,324,168,57424.0
2020-09-15,336,0,69637.0
2020-09-16,432,60,402731.0
2020-09-17,216,24,93316.0
2020-09-18,24,24,4808.0
2020-09-21,48,48,34202.0
2020-09-22,312,48,140109.0
2020-09-23,144,0,35096.0
2020-09-24,192,0,3809.0
2020-09-25,288,48,146637.0
2020-09-28,24,0,5964.0
2020-09-29,72,48,11595.0
2020-09-30,504,48,747372.0
2020-10-01,132,36,64496.0
2020-10-02,384,24,157058.0
2020-10-05,120,48,192148.0
2020-10-06,144,0,34516.0
2020-10-07,216,24,108683.0
2020-10-08,456,156,93497.0
2020-10-09,312,0,25550.0
2020-10-15,24,24,10714.0
2020-10-16,96,0,29956.0
2020-11-02,0,24,11407.0
2021-03-19,216,0,148860.0
2021-03-24,96,24,61635.0
2021-03-26,48,0,25602.0
2021-04-20,360,48,618205.0
2021-04-21,312,48,1078446.0
2021-04-22,264,0,624748.0
2021-04-23,528,72,1339374.0
2021-04-26,456,84,582391.0
2021-04-27,216,168,678559.0
2021-04-28,336,72,472526.0
2021-04-29,696,48,1429869.0
2021-04-30,1032,24,2650624.0
2021-05-04,288,24,115615.0
2021-05-05,264,48,146621.0
2021-05-06,456,96,404551.0
2021-05-07,492,60,378604.0
2021-05-10,300,48,47518.0
2021-05-11,372,36,142001.0
2021-05-12,300,60,166264.0
2021-05-13,744,72,506228.0
2021-05-14,0,24,689.0
2021-05-17,120,24,93467.0
2021-05-18,48,24,4051.0
2021-05-19,336,96,43707.0
2021-05-20,600,120,355200.0
2021-05-21,456,72,375525.0
2021-05-24,288,84,125897.0
2021-05-25,252,0,143560.0
2021-05-26,336,48,339501.0
2021-05-27,528,72,338319.0
2021-05-28,624,0,325585.0
2021-06-07,156,24,29044.0
2021-06-08,360,96,96695.0
2021-06-09,228,192,148002.0
2021-06-10,456,84,341958.0
2021-06-11,372,0,179008.0
2021-06-14,240,72,455207.0
2021-06-15,576,72,777296.0
2021-06-16,312,24,222908.0
2021-06-17,192,24,227335.0
2021-06-18,96,0,21634.0
2021-06-21,216,0,217247.0
2021-06-22,264,48,138680.0
2021-06-23,192,84,457582.0
2021-06-24,516,0,437660.0
2021-06-25,264,48,581816.0
2021-06-28,408,60,304660.0
2021-06-29,192,72,263793.0
2021-06-30,552,48,910609.0
2021-07-01,480,24,150891.0
2021-07-02,792,144,783509.0
2021-07-05,624,48,412628.0
2021-07-06,72,48,228130.0
2021-07-07,360,72,191316.0
2021-07-08,168,0,18535.0
2021-07-09,120,72,49232.0
2021-07-13,360,144,573003.0
2021-07-14,168,24,182107.0
2021-07-15,144,48,239281.0
2021-07-16,528,144,792215.0
2021-07-20,48,0,27130.0
2021-07-22,168,48,530875.0
2021-09-01,216,72,172685.0
2021-09-02,264,96,273020.0
2021-09-03,312,0,587196.0
2021-09-06,384,48,115921.0
