date,slight,serious,Barking and Dagenham collision,Barnet collision,Bexley collision,Brent collision,Bromley collision,Camden collision,City of London collision,Croydon collision,Ealing collision,Enfield collision,Greenwich collision,Hackney collision,Hammersmith and Fulham collision,Haringey collision,Harrow collision,Havering collision,Hillingdon collision,Hounslow collision,Islington collision,Kensington an Chelsea collision,Kingston upon thames collision,Lambeth collision,Lewisham collision,Merton collision,Newham collision,Redbridge collision,Richmond upon thames collision,Southwark collision,Sutton collision,Tower Hamlets collision,Waltham Forest collision,Wandsworth collision,Westminster collision
16/06/2018,90,9,5,2,1,7,3,3,0,4,3,3,6,0,4,4,2,3,3,2,1,2,2,0,2,0,7,0,1,5,5,10,2,1,6
17/06/2018,55,7,0,8,0,7,0,1,0,5,1,1,3,5,1,2,0,1,0,1,2,1,2,3,1,2,0,6,1,0,0,4,0,2,2
18/06/2018,75,12,1,4,3,1,2,2,1,1,3,4,1,2,1,6,0,2,1,1,2,6,1,4,3,2,0,2,2,5,1,4,5,8,6
19/06/2018,74,20,0,5,1,3,4,5,1,2,2,8,1,1,1,5,2,3,1,6,1,3,3,4,5,1,2,0,2,6,2,5,1,4,4
20/06/2018,79,12,0,1,3,1,5,3,0,3,4,1,5,1,2,2,3,2,3,5,1,1,0,0,5,5,3,6,4,3,0,4,7,1,7
21/06/2018,122,13,3,7,1,4,6,6,0,5,11,6,5,3,3,2,1,2,6,3,1,1,3,3,5,3,10,5,0,4,3,7,2,8,6
22/06/2018,79,16,0,4,2,2,2,8,0,4,5,1,0,5,2,3,2,3,1,3,2,3,1,12,9,1,2,0,1,4,1,1,2,5,4
23/06/2018,64,20,0,9,6,6,5,2,0,1,1,1,2,2,1,4,2,4,2,0,0,3,1,3,0,1,2,4,1,5,4,3,4,1,4
24/06/2018,85,14,8,7,0,4,2,7,1,3,12,2,0,7,3,2,1,1,1,2,1,0,3,2,4,2,1,6,7,4,1,1,2,2,0
25/06/2018,104,11,3,9,1,5,6,6,0,6,3,2,3,4,3,0,8,2,4,3,2,3,0,7,2,2,4,6,1,6,3,1,0,4,6
26/06/2018,109,7,1,3,1,4,7,4,0,4,3,5,5,2,5,0,0,3,9,10,1,0,0,8,3,1,2,2,3,8,0,6,5,4,7
27/06/2018,90,19,1,6,2,3,4,2,7,4,2,6,5,1,4,2,1,1,9,6,6,5,0,3,2,1,3,3,2,6,0,0,2,5,5
28/06/2018,66,15,2,0,0,4,1,0,1,3,2,9,2,3,2,3,1,2,3,2,4,2,2,3,6,2,1,3,4,4,0,1,1,3,5
29/06/2018,131,12,8,7,4,9,2,2,1,2,7,2,8,5,4,4,3,0,3,2,3,4,0,4,7,4,5,6,1,4,2,11,6,6,7
30/06/2018,87,17,0,2,0,7,2,2,1,2,5,3,1,5,6,5,2,4,7,3,1,4,2,4,4,1,6,9,1,3,0,3,2,2,5
01/07/2018,62,20,3,1,1,6,1,6,0,3,5,3,2,3,0,3,3,3,3,3,1,3,1,4,2,0,7,3,2,5,0,2,0,1,2
02/07/2018,98,15,3,4,0,2,3,6,1,2,3,4,1,8,4,2,3,0,5,6,1,1,2,7,7,1,8,5,1,4,5,2,3,1,8
03/07/2018,101,9,0,2,4,7,7,5,2,7,8,1,2,4,2,4,1,1,4,1,5,1,2,5,6,1,2,2,2,3,3,2,3,4,7
04/07/2018,81,9,3,4,6,2,6,1,0,4,2,6,3,5,7,1,1,0,6,3,3,1,0,5,4,1,1,0,2,1,0,1,3,2,6
05/07/2018,85,15,1,5,0,3,0,4,2,1,5,2,1,2,4,6,1,2,3,5,1,2,0,5,5,4,3,5,6,6,0,2,2,7,5
06/07/2018,78,21,5,0,0,5,6,4,1,1,1,6,3,8,1,4,3,3,1,1,3,3,1,5,4,4,7,0,2,3,0,1,2,5,6
07/07/2018,72,10,0,6,8,3,4,1,0,4,2,2,1,1,4,2,2,5,0,1,1,0,0,3,2,1,2,4,2,6,1,4,4,3,3
08/07/2018,74,10,5,5,0,4,1,5,1,2,3,2,1,4,0,2,4,3,1,3,2,0,0,3,5,0,2,0,1,6,6,1,3,3,6
09/07/2018,74,8,1,3,3,0,1,2,0,4,3,3,3,0,1,1,1,0,3,0,1,2,2,4,4,1,3,4,1,4,4,7,0,7,9
10/07/2018,101,23,2,2,2,9,2,7,1,2,3,6,2,2,1,2,2,6,4,4,5,5,3,3,13,2,1,12,0,3,1,5,2,6,4
11/07/2018,93,15,4,3,5,3,1,1,2,5,4,3,5,4,5,3,5,2,1,6,5,7,1,3,4,6,1,2,2,1,1,6,1,2,4
12/07/2018,82,17,1,5,2,3,1,5,0,4,4,2,2,4,2,7,4,4,3,4,3,2,1,6,1,1,1,0,0,7,0,3,5,5,7
13/07/2018,97,18,0,1,1,3,0,7,4,6,1,5,6,1,4,5,2,2,1,7,3,2,3,1,4,2,5,3,1,7,1,5,3,4,15
14/07/2018,60,9,4,0,2,2,4,2,0,4,2,2,1,1,2,2,3,0,0,5,0,2,1,3,1,0,0,1,3,3,3,4,1,5,6
15/07/2018,57,7,0,0,0,4,2,0,0,0,1,6,0,1,0,3,1,0,0,3,2,2,5,6,2,0,2,6,1,2,2,5,1,3,4
16/07/2018,69,13,7,3,2,5,0,2,1,0,7,1,1,3,1,3,1,0,5,2,3,2,2,2,2,0,3,1,2,2,6,3,1,1,8
17/07/2018,82,20,0,3,2,2,3,5,0,4,4,3,1,3,0,2,1,2,4,4,4,6,0,3,2,2,3,2,1,7,1,5,1,7,15
18/07/2018,64,14,2,1,0,7,2,0,0,0,6,3,1,1,3,1,1,2,2,2,3,2,0,4,4,5,3,2,4,7,4,0,2,4,0
19/07/2018,63,9,1,2,3,3,4,1,1,2,8,3,2,3,1,1,4,2,0,1,2,2,0,6,0,2,3,1,1,4,1,3,2,1,2
20/07/2018,68,11,6,5,0,1,4,1,0,2,2,4,2,4,2,3,3,6,1,0,2,0,0,3,1,4,4,1,1,5,0,2,2,4,4
21/07/2018,65,4,2,1,2,8,0,2,0,5,2,2,1,1,1,1,0,2,0,1,2,1,3,6,1,0,1,3,1,6,0,5,1,4,4
22/07/2018,60,12,5,3,2,3,1,5,0,3,6,1,0,1,1,3,1,2,1,0,2,2,1,7,1,3,1,1,3,3,1,1,0,6,2
23/07/2018,78,15,2,2,1,2,3,2,2,3,3,3,1,1,1,3,5,3,4,2,4,2,1,8,1,2,1,4,2,5,3,2,0,4,11
24/07/2018,72,8,1,6,0,4,5,1,1,3,1,2,2,2,3,1,3,3,7,3,3,1,1,4,2,1,3,0,1,3,1,4,0,3,5
25/07/2018,75,14,1,1,2,5,3,2,0,4,0,1,2,1,2,3,1,5,1,4,3,3,1,3,5,5,6,1,1,4,0,10,2,4,3
26/07/2018,68,8,3,2,4,1,6,0,0,2,3,2,5,1,3,1,3,0,1,3,0,1,0,4,4,1,0,4,0,3,0,7,1,7,4
27/07/2018,94,10,3,11,1,8,5,3,0,5,4,1,3,3,2,8,0,2,4,0,1,0,1,4,4,3,4,1,1,4,2,3,3,5,5
28/07/2018,68,5,0,1,1,3,2,1,1,3,4,1,2,10,2,2,0,1,0,3,3,1,3,4,2,2,4,4,1,0,1,2,1,2,6
29/07/2018,66,7,3,2,0,2,2,0,0,3,3,10,2,0,2,3,1,0,2,5,1,1,0,6,5,0,1,0,1,2,1,6,2,4,3
30/07/2018,59,11,0,0,1,4,2,3,1,3,3,2,1,1,1,4,0,4,3,0,2,4,0,4,3,0,4,1,0,4,0,6,3,5,1
31/07/2018,66,7,0,2,0,3,1,2,0,4,2,0,4,2,3,9,1,5,5,2,2,1,0,2,2,2,1,6,0,2,1,3,3,1,2
01/08/2018,83,11,7,4,0,3,3,3,0,3,1,2,1,9,1,2,3,4,2,1,1,4,1,5,6,4,3,0,2,3,5,3,3,1,4
02/08/2018,70,13,0,3,0,1,0,3,2,5,3,6,4,2,1,2,0,1,1,1,1,2,0,8,2,2,3,2,4,6,0,6,2,4,6
03/08/2018,68,17,3,2,2,1,4,1,1,7,2,1,1,8,2,2,1,1,5,3,1,1,1,3,2,2,5,1,1,6,1,4,1,3,6
04/08/2018,64,12,1,6,0,0,0,2,0,4,3,2,3,5,0,2,2,2,2,1,0,3,0,2,6,4,3,0,2,7,2,2,3,2,5
05/08/2018,78,9,4,0,5,1,1,0,0,2,5,4,2,6,3,2,1,1,6,1,3,7,0,8,4,2,0,7,2,1,0,2,0,1,6
06/08/2018,82,9,2,3,3,5,2,0,2,1,1,3,6,2,3,7,1,5,8,0,4,3,2,3,1,0,2,3,0,6,3,1,2,1,6
07/08/2018,70,12,3,1,1,2,2,2,1,2,2,2,1,1,1,1,3,3,2,1,1,3,3,4,5,4,2,7,3,9,1,5,0,2,2
08/08/2018,72,13,1,5,0,1,2,6,2,3,7,0,3,3,2,3,0,3,2,1,0,4,0,3,4,1,1,2,2,2,0,6,4,4,8
09/08/2018,86,9,1,2,1,2,2,6,1,6,1,3,12,4,1,0,3,1,5,2,3,5,0,5,1,0,0,14,1,7,1,2,1,2,0
10/08/2018,93,12,5,1,0,5,6,3,0,1,3,2,4,4,4,2,0,2,4,3,1,1,1,9,3,2,4,1,1,9,3,7,2,8,4
11/08/2018,52,13,2,1,2,0,2,0,0,0,3,1,1,1,0,4,2,1,1,1,2,2,3,4,2,0,4,2,1,7,1,6,3,1,5
12/08/2018,35,7,2,0,0,0,1,3,0,4,0,4,0,5,1,3,1,0,1,3,1,0,0,1,1,0,2,0,0,0,1,2,5,0,1
13/08/2018,58,11,4,2,6,3,2,1,2,2,2,3,1,3,4,1,0,1,4,1,1,2,0,2,1,0,3,0,2,4,2,2,1,1,6
14/08/2018,58,12,5,1,0,1,2,3,0,4,8,2,0,3,1,1,2,2,0,3,1,0,0,6,1,1,0,4,2,0,3,5,1,3,5
15/08/2018,70,13,3,2,4,5,1,3,0,5,4,4,2,0,3,1,1,2,2,4,4,4,0,3,1,3,4,1,0,2,1,4,3,5,2
16/08/2018,57,6,0,2,1,0,2,4,1,1,0,1,2,5,2,2,1,1,0,1,1,3,1,2,1,2,4,2,0,5,3,3,2,3,5
17/08/2018,67,7,1,2,2,4,2,2,0,5,2,1,1,5,0,1,0,1,3,7,1,1,2,5,1,2,1,0,1,7,0,5,0,5,4
18/08/2018,53,5,1,3,0,1,1,0,1,0,1,2,1,2,1,3,1,0,1,2,0,2,0,2,0,2,3,4,0,6,4,5,3,3,3
19/08/2018,43,6,5,0,3,1,0,1,0,0,2,2,0,2,0,0,0,2,2,0,4,1,1,3,3,0,1,2,2,0,0,1,6,1,4
20/08/2018,51,7,3,2,0,2,2,0,0,2,5,0,1,1,0,0,1,4,2,0,2,0,1,5,2,8,1,2,0,3,1,1,0,4,3
21/08/2018,62,7,0,2,3,3,3,3,0,1,1,1,4,2,2,2,0,1,6,1,0,2,2,2,2,0,5,0,2,1,0,7,9,2,0
22/08/2018,64,17,4,6,1,2,2,5,2,0,0,0,1,5,0,1,2,2,1,5,1,2,0,6,0,2,5,4,0,4,3,2,2,4,7
23/08/2018,73,9,3,2,0,2,1,5,2,4,0,3,1,1,7,1,0,1,1,1,2,0,1,7,6,1,2,6,4,5,1,6,0,3,3
24/08/2018,63,15,0,1,3,3,1,5,1,2,3,3,2,5,5,2,0,0,8,0,2,0,0,3,2,3,4,2,2,1,1,5,2,5,2
25/08/2018,60,8,3,3,3,5,1,0,0,1,0,2,3,0,3,2,4,1,2,0,1,0,0,5,2,1,14,2,0,2,2,4,1,0,1
26/08/2018,70,10,3,1,1,5,2,1,0,1,4,2,4,2,4,3,2,1,2,2,3,1,0,3,0,5,9,4,0,2,6,0,2,0,5
27/08/2018,50,6,1,4,0,1,3,1,0,1,3,1,2,1,1,0,2,0,3,3,0,1,0,2,0,1,1,5,3,2,0,2,0,1,11
28/08/2018,59,10,1,0,0,2,0,1,2,4,5,2,2,5,2,2,1,0,6,3,0,3,1,6,3,0,1,1,0,6,2,2,0,2,4
29/08/2018,55,8,1,4,1,2,1,1,0,1,3,0,1,1,0,2,2,5,1,1,1,2,0,0,1,5,3,6,2,5,0,4,0,3,4
30/08/2018,76,7,0,4,2,4,8,7,0,2,0,5,1,1,1,6,2,2,1,3,2,2,1,4,2,1,2,2,2,2,2,2,2,3,5
31/08/2018,57,13,1,0,1,1,3,4,1,1,3,5,3,5,3,3,2,1,1,1,5,1,1,6,1,1,2,0,0,8,1,3,0,1,1
01/09/2018,75,7,2,3,3,3,3,0,0,2,4,2,3,6,0,2,4,3,3,3,1,1,7,2,1,0,8,4,0,3,1,1,4,1,2
02/09/2018,82,11,4,1,0,3,0,2,0,2,2,6,0,1,6,2,1,1,4,7,2,3,0,3,7,0,8,5,3,6,0,3,3,1,7
03/09/2018,65,11,0,0,2,4,1,2,2,2,1,1,0,2,0,1,0,4,1,12,0,2,1,0,1,1,4,9,3,3,1,6,4,3,3
04/09/2018,70,14,4,3,0,1,3,2,0,3,4,1,2,2,6,4,0,1,1,5,1,2,0,1,4,3,3,6,0,0,1,10,3,5,3
05/09/2018,75,10,1,2,1,3,3,1,0,6,3,3,0,2,3,5,3,0,6,5,3,1,0,6,2,4,5,0,1,3,1,2,5,0,5
06/09/2018,71,14,0,4,3,0,4,0,1,4,11,3,7,2,2,3,1,1,2,1,1,0,1,2,1,4,3,1,1,6,2,2,3,4,5
07/09/2018,78,8,1,1,0,2,4,2,0,2,4,4,1,6,9,3,1,3,2,1,5,3,2,6,2,0,2,3,0,1,2,2,2,2,8
08/09/2018,60,9,2,4,0,3,0,1,0,0,1,0,0,4,0,1,0,2,1,2,6,4,2,7,4,3,4,0,0,3,0,1,5,3,6
09/09/2018,72,11,1,0,3,1,3,1,0,4,2,5,7,2,1,2,0,2,8,3,2,0,1,7,2,1,8,6,5,2,0,1,0,0,3
10/09/2018,61,9,1,3,4,2,2,1,0,4,3,4,0,2,2,3,0,1,3,3,3,0,1,3,2,0,3,3,2,4,0,2,4,1,4
11/09/2018,78,13,1,1,3,1,1,2,2,4,7,7,1,4,0,4,1,1,3,3,2,1,1,2,1,2,1,3,2,4,3,8,1,4,10
12/09/2018,73,16,5,2,3,5,2,4,0,2,6,1,0,3,4,3,1,2,3,2,3,4,0,3,3,0,5,1,0,6,1,3,2,4,6
13/09/2018,94,16,4,4,1,5,5,0,1,3,6,3,4,4,4,4,1,4,3,1,3,4,5,3,2,1,0,7,1,5,1,4,3,6,8
14/09/2018,82,7,2,1,3,5,3,5,2,3,6,3,3,2,1,4,0,1,4,1,7,1,1,2,4,2,5,2,1,6,1,2,2,4,0
15/09/2018,79,12,0,6,1,8,1,2,1,5,1,6,4,4,2,7,1,1,1,0,1,0,1,3,4,1,3,1,4,7,0,6,3,1,5
16/09/2018,48,9,0,8,0,8,1,2,0,1,3,5,0,1,0,1,1,1,2,5,0,1,1,1,3,1,3,0,2,0,0,0,2,2,2
17/09/2018,71,16,2,3,1,1,2,2,1,3,2,5,1,5,1,5,2,5,1,2,3,3,3,4,2,0,7,2,1,6,3,1,3,2,3
18/09/2018,67,22,4,5,0,4,4,2,1,6,3,6,2,3,4,3,2,1,1,0,3,1,1,4,2,2,1,2,4,7,3,2,2,3,1
19/09/2018,91,12,5,4,2,5,3,5,5,2,2,5,8,5,3,0,1,1,1,4,4,4,0,5,3,0,1,2,3,6,0,3,1,6,4
20/09/2018,67,13,0,4,0,3,2,5,1,6,5,2,3,5,0,0,2,0,5,3,1,6,0,5,5,0,1,1,1,3,1,3,4,2,1
21/09/2018,78,12,2,2,1,2,3,3,1,2,1,0,2,3,2,2,4,0,3,4,0,8,0,9,3,1,4,1,1,10,2,3,2,4,5
22/09/2018,94,9,0,4,1,5,8,3,1,6,3,0,5,3,1,3,0,2,2,6,1,2,1,3,4,2,4,5,1,5,0,9,2,2,9
23/09/2018,60,8,1,4,1,5,4,1,1,0,1,1,3,3,4,6,3,4,0,1,1,0,0,1,1,5,3,1,0,3,2,1,2,3,2
24/09/2018,81,11,3,6,4,2,1,3,1,2,1,4,3,1,1,5,2,4,1,5,3,3,1,6,2,1,3,2,1,1,2,3,3,3,9
25/09/2018,86,13,0,3,3,2,2,5,0,5,1,5,13,0,7,1,3,0,3,3,6,2,0,4,6,3,3,0,1,1,1,3,1,9,3
26/09/2018,77,13,0,8,1,3,7,3,1,2,2,2,2,1,3,4,2,0,4,2,7,1,2,2,3,4,3,1,0,3,3,3,3,1,7
27/09/2018,79,12,4,7,1,3,2,1,1,4,2,4,1,4,2,2,0,4,2,1,2,0,3,2,5,1,4,4,2,4,2,7,2,3,5
28/09/2018,90,12,3,3,3,2,4,4,0,2,3,7,3,0,2,5,6,1,2,6,2,5,1,3,2,6,4,2,1,3,0,4,3,1,9
29/09/2018,97,10,5,1,6,10,8,0,1,7,5,0,3,0,4,6,2,0,3,6,1,0,0,5,2,1,2,9,4,2,3,2,2,6,1
30/09/2018,63,15,4,1,2,3,2,4,0,3,6,1,3,3,0,2,1,5,3,0,6,0,0,1,1,0,7,2,1,3,0,5,2,3,4
01/10/2018,66,13,2,6,4,4,2,1,0,3,1,4,0,2,1,3,1,1,3,1,1,4,0,6,3,5,0,5,2,3,1,2,1,1,6
02/10/2018,66,8,3,1,0,2,1,1,0,2,5,8,0,1,1,1,1,2,1,4,1,3,4,3,3,3,2,7,4,5,0,2,1,0,2
03/10/2018,87,17,1,3,1,5,2,4,1,2,6,0,1,1,1,6,2,1,4,2,1,3,4,7,4,4,2,2,2,7,1,7,3,3,11
04/10/2018,74,7,0,1,0,6,1,3,0,2,2,3,0,6,2,1,0,2,5,3,7,2,0,5,1,2,2,2,0,3,2,6,4,1,7
05/10/2018,83,16,0,4,1,3,1,9,1,3,1,10,1,6,2,7,2,8,0,3,3,3,3,4,1,0,4,1,2,3,1,4,1,3,4
06/10/2018,95,20,0,3,3,1,2,7,1,0,3,10,3,5,1,4,4,5,3,6,5,2,2,1,6,2,5,6,3,8,0,3,5,0,6
07/10/2018,60,10,0,2,0,2,1,7,0,3,4,2,5,0,5,4,1,0,1,0,4,3,0,2,2,0,4,3,1,2,3,2,1,1,5
08/10/2018,82,9,1,2,4,4,1,4,0,6,4,1,2,6,2,5,4,5,2,2,1,3,0,4,5,0,2,4,1,4,0,3,9,0,0
09/10/2018,89,12,0,3,1,3,4,5,4,3,6,5,6,1,1,1,1,1,5,3,4,3,1,11,1,1,2,5,1,4,3,4,4,2,2
10/10/2018,100,17,2,3,1,6,7,3,1,8,4,2,4,6,3,7,2,2,2,5,0,4,2,3,1,0,3,3,3,3,0,7,1,9,10
11/10/2018,71,13,0,2,4,2,3,3,0,3,1,6,1,1,3,1,1,3,6,6,6,2,0,2,0,2,3,4,1,5,2,3,1,1,6
12/10/2018,81,14,0,0,2,10,4,7,0,2,2,2,2,3,3,1,1,3,7,2,2,5,1,5,3,4,0,7,0,2,0,3,3,3,6
13/10/2018,71,8,1,4,2,3,2,4,0,3,3,5,0,1,2,3,0,2,0,2,1,0,1,1,4,3,7,1,3,1,6,5,1,2,6
14/10/2018,79,12,0,6,2,3,2,5,0,2,4,7,6,4,1,1,0,1,3,6,1,2,1,4,2,1,6,0,1,5,1,6,1,3,4
15/10/2018,55,11,1,3,2,4,0,5,1,3,0,6,1,1,1,2,1,3,1,3,1,1,0,2,1,1,1,5,3,2,1,4,1,1,4
16/10/2018,81,12,2,8,3,3,2,4,1,2,0,6,3,2,2,6,1,6,1,2,2,1,0,8,2,4,1,1,2,4,0,1,3,4,6
17/10/2018,82,10,1,4,3,3,4,2,0,2,2,3,2,3,4,1,4,2,5,5,1,3,3,6,3,4,1,1,2,1,2,5,1,6,3
18/10/2018,59,11,0,1,2,1,1,3,0,1,1,5,1,0,6,1,0,2,4,2,0,3,0,5,6,2,6,4,1,2,1,2,0,4,3
19/10/2018,92,19,4,3,3,1,2,2,0,0,0,4,7,2,4,4,2,7,2,5,4,9,1,3,5,1,6,3,0,6,1,8,1,6,5
20/10/2018,77,11,4,4,2,5,2,5,0,0,8,3,1,3,1,4,2,1,8,1,0,1,4,3,1,3,4,1,3,3,1,5,2,1,2
21/10/2018,70,6,3,4,1,3,7,4,0,1,4,1,4,2,2,4,2,1,6,2,0,0,1,3,2,1,5,2,0,1,0,4,0,1,5
22/10/2018,83,17,3,7,4,2,4,3,1,1,5,1,1,3,2,3,2,4,0,3,3,2,4,4,9,3,2,1,1,3,5,3,2,5,4
23/10/2018,66,8,6,3,1,1,1,5,0,4,4,6,1,2,4,7,0,0,2,3,1,1,1,1,3,2,1,3,0,3,1,1,0,2,4
24/10/2018,69,9,0,2,1,2,2,5,2,2,0,3,2,1,1,2,0,9,4,6,3,1,2,2,1,3,4,4,0,0,3,4,3,2,2
25/10/2018,79,12,1,7,2,4,2,2,1,2,5,6,5,3,0,3,0,10,0,2,4,0,0,3,1,1,3,5,1,4,1,7,2,1,3
26/10/2018,86,23,2,6,1,5,0,2,1,3,10,3,5,5,5,2,2,1,0,4,5,1,1,6,9,1,2,3,2,5,0,4,3,4,6
27/10/2018,72,10,2,4,3,2,6,2,0,5,4,0,1,2,7,2,0,1,1,0,0,1,1,6,1,0,4,4,2,1,4,3,1,6,6
28/10/2018,58,8,3,2,0,1,3,0,0,1,1,5,0,5,3,0,3,6,1,0,4,0,2,6,1,3,0,3,0,2,1,2,1,3,4
29/10/2018,82,15,1,2,0,3,8,1,3,1,1,3,2,8,3,2,0,1,1,6,3,1,0,7,4,2,4,2,2,6,3,8,0,1,8
30/10/2018,50,12,0,0,1,5,1,1,0,2,2,2,1,4,1,4,1,0,4,0,4,0,0,1,2,1,2,3,1,1,0,5,3,5,5
31/10/2018,84,11,1,8,2,4,4,3,2,0,3,6,1,4,4,3,2,2,4,3,5,2,1,0,1,3,1,2,4,5,0,5,0,5,5
01/11/2018,88,8,0,1,3,8,4,6,2,8,3,7,1,1,0,0,1,4,3,2,3,4,0,9,4,1,1,2,1,3,1,3,2,2,6
02/11/2018,111,15,1,2,1,3,9,4,3,3,2,3,2,3,5,6,2,2,11,6,7,6,0,1,5,1,11,4,2,2,2,2,2,5,8
03/11/2018,83,8,3,0,1,6,4,5,0,3,4,6,8,1,1,7,0,1,2,1,1,0,0,5,10,1,1,5,6,1,0,2,4,2,0
04/11/2018,50,3,2,2,1,2,1,0,1,1,0,3,2,0,1,5,2,1,0,7,2,0,0,2,1,1,1,2,0,2,0,3,1,1,6
05/11/2018,53,7,1,2,0,3,4,4,0,0,8,4,3,2,2,2,0,1,3,2,0,5,1,1,1,0,1,0,3,1,0,2,0,2,2
06/11/2018,61,12,2,5,0,1,3,5,0,2,2,3,3,3,3,1,0,3,7,1,1,1,1,1,2,2,0,2,2,5,1,4,2,4,1
07/11/2018,75,12,2,6,2,3,1,4,1,7,3,5,4,1,3,1,0,3,3,2,0,2,0,3,1,4,4,7,0,4,1,5,1,2,2
08/11/2018,94,13,1,3,4,0,4,1,1,6,4,7,7,1,2,2,0,0,5,12,2,4,1,3,4,0,3,1,5,5,2,5,4,2,6
09/11/2018,95,15,1,5,5,4,5,4,1,3,1,2,1,1,4,1,0,1,2,5,3,4,1,10,6,7,8,3,2,4,2,4,4,2,4
10/11/2018,95,11,3,1,4,5,2,0,0,3,5,3,2,1,2,5,3,1,4,9,1,4,1,5,6,0,8,1,2,7,1,6,4,2,5
11/11/2018,82,9,6,4,4,3,4,2,1,7,2,0,2,0,0,2,0,0,0,0,2,3,1,8,1,4,2,6,1,5,0,9,1,5,6
12/11/2018,85,13,2,0,0,5,5,4,0,1,3,3,4,2,1,1,4,2,16,3,4,2,0,6,3,1,4,2,0,4,0,3,1,6,6
13/11/2018,105,19,4,9,4,3,6,1,2,4,7,6,3,4,3,7,4,2,1,8,2,5,2,3,5,4,2,1,0,3,2,4,3,6,4
14/11/2018,81,10,0,5,3,1,5,3,0,4,2,3,1,0,0,2,2,2,4,3,1,2,1,4,4,0,1,4,5,5,0,8,2,4,10
15/11/2018,62,15,4,3,2,1,1,0,0,6,2,2,0,0,4,2,2,1,4,2,4,3,2,3,1,3,3,1,0,7,0,5,4,1,4
16/11/2018,75,8,1,3,4,4,2,3,0,0,3,3,4,2,3,4,5,2,2,1,2,2,2,4,4,2,4,4,3,4,0,3,0,1,2
17/11/2018,71,13,3,3,4,1,2,2,1,4,1,2,2,2,2,3,2,0,1,3,1,1,7,1,5,8,2,4,0,2,0,8,1,1,5
18/11/2018,44,14,0,4,3,3,0,1,0,6,0,2,0,4,0,4,0,2,1,1,3,2,0,3,3,4,2,1,2,1,0,2,2,0,2
19/11/2018,99,11,1,6,0,1,1,11,2,1,4,4,5,4,1,5,4,6,4,2,4,3,2,3,3,1,2,3,3,3,0,9,3,5,4
20/11/2018,86,11,0,4,4,3,5,2,0,2,4,3,1,2,0,2,1,8,2,2,2,8,0,3,1,3,2,5,4,5,2,8,0,3,6
21/11/2018,75,14,0,6,5,2,1,2,2,1,1,3,1,2,2,4,1,2,1,3,2,8,1,10,5,1,2,0,0,5,3,2,1,6,4
22/11/2018,72,9,3,6,1,4,4,5,0,1,5,2,4,2,1,2,0,4,4,3,4,1,0,2,3,1,3,1,0,2,0,4,2,1,6
23/11/2018,82,10,1,4,3,1,6,2,0,7,5,3,2,2,5,5,3,0,0,3,6,2,1,3,4,1,4,1,0,5,0,3,1,3,6
24/11/2018,72,6,12,6,1,5,3,0,0,4,1,6,5,1,0,1,0,2,0,3,0,1,3,1,2,1,7,1,0,4,0,3,2,0,3
25/11/2018,55,14,1,1,1,0,0,3,1,2,0,0,0,1,0,1,4,0,4,3,3,3,2,5,4,0,3,2,3,1,0,4,5,6,6
26/11/2018,73,13,0,2,1,3,2,9,0,3,3,2,7,2,2,3,5,2,1,5,2,2,3,3,3,2,4,0,3,3,2,1,1,2,3
27/11/2018,83,11,1,7,0,4,1,6,0,2,5,1,0,3,4,6,0,3,5,3,2,1,0,4,3,1,5,5,4,1,1,2,8,3,3
28/11/2018,101,12,3,5,1,2,7,3,1,3,5,4,2,4,4,4,3,1,5,2,0,5,1,2,4,1,5,3,2,7,3,7,7,5,2
29/11/2018,76,12,0,4,0,4,2,1,0,2,3,5,2,4,9,3,1,1,0,3,3,3,1,5,3,2,4,1,4,4,3,8,1,1,1
30/11/2018,102,12,3,6,2,3,4,2,1,6,5,2,4,4,4,0,0,5,7,2,4,3,1,5,7,3,5,3,0,2,1,4,4,6,6
01/12/2018,81,13,1,4,1,5,0,2,2,6,3,2,3,3,1,1,4,0,6,1,1,3,5,3,5,1,7,4,2,2,1,6,2,0,7
02/12/2018,56,5,1,1,1,4,2,3,0,2,0,4,3,1,0,3,1,4,0,5,4,3,1,2,1,4,0,0,3,0,0,1,5,0,2
03/12/2018,84,6,4,3,0,3,2,4,0,3,2,5,7,3,1,1,2,1,5,1,5,5,2,0,1,2,1,0,0,6,6,4,4,1,6
04/12/2018,90,15,3,4,3,3,4,0,0,3,3,1,5,5,3,4,5,3,3,6,4,0,1,5,1,0,2,3,5,6,2,4,4,6,4
05/12/2018,73,19,1,2,4,0,2,3,0,4,2,5,6,2,2,1,7,3,5,2,5,1,0,6,1,2,1,4,0,1,2,5,4,3,6
06/12/2018,78,14,3,1,2,3,4,3,0,8,3,5,1,2,2,0,0,4,2,3,2,2,3,10,5,3,2,4,0,2,1,0,3,4,5
07/12/2018,101,9,3,6,2,2,4,3,1,3,2,4,5,2,8,3,2,3,3,3,0,4,0,4,0,1,16,2,2,3,0,3,6,7,3
08/12/2018,77,7,3,2,2,0,3,3,0,4,2,2,8,3,1,4,1,0,4,1,4,1,0,4,2,0,4,5,2,3,0,7,3,3,3
09/12/2018,47,7,0,2,1,4,0,1,0,3,5,2,3,0,1,0,2,2,5,1,2,2,0,1,3,2,1,1,2,0,0,1,3,2,2
10/12/2018,56,9,0,2,0,1,3,4,1,2,1,4,2,4,1,2,0,0,2,0,2,3,1,1,2,5,0,1,0,1,0,5,3,4,8
