date,slight,serious,Barking and Dagenham collision,Barnet collision,Bexley collision,Brent collision,Bromley collision,Camden collision,City of London collision,Croydon collision,Ealing collision,Enfield collision,Greenwich collision,Hackney collision,Hammersmith and Fulham collision,Haringey collision,Harrow collision,Havering collision,Hillingdon collision,Hounslow collision,Islington collision,Kensington an Chelsea collision,Kingston upon thames collision,Lambeth collision,Lewisham collision,Merton collision,Newham collision,Redbridge collision,Richmond upon thames collision,Southwark collision,Sutton collision,Tower Hamlets collision,Waltham Forest collision,Wandsworth collision,Westminster collision
08/02/2017,69,9,0,3,1,1,4,2,3,1,3,1,2,5,3,1,1,0,2,5,5,1,2,5,2,2,1,4,0,3,1,7,2,0,5
09/02/2017,66,9,0,1,0,2,3,3,0,3,7,2,0,1,3,1,0,0,3,1,5,1,2,10,1,3,3,2,0,6,2,3,1,1,5
10/02/2017,99,8,1,5,2,4,2,2,1,4,4,4,1,4,1,5,3,4,2,4,3,1,2,4,1,2,5,7,2,2,4,9,1,2,9
11/02/2017,69,11,0,3,6,4,2,2,0,0,6,2,5,2,1,0,4,0,0,2,2,1,0,11,4,0,2,4,0,3,0,6,1,1,6
12/02/2017,59,4,0,3,1,2,3,1,2,1,2,0,1,2,0,8,0,4,0,1,2,3,1,3,2,0,1,2,0,4,2,4,2,2,4
13/02/2017,61,8,2,2,1,3,5,5,0,3,0,4,1,3,1,3,1,0,5,1,3,1,0,2,1,0,5,2,2,2,0,4,2,2,3
14/02/2017,92,8,0,3,2,2,4,8,0,0,5,7,1,4,3,10,0,4,2,9,4,1,1,1,2,2,4,4,0,0,1,6,0,4,6
15/02/2017,68,14,4,3,4,3,2,3,2,4,2,2,0,5,1,0,3,2,1,1,7,4,1,3,0,4,3,0,2,1,1,2,2,4,6
16/02/2017,74,9,6,2,1,3,3,3,1,3,2,6,6,1,2,2,0,3,2,5,2,0,0,3,1,0,3,1,1,3,2,4,6,2,4
17/02/2017,94,8,0,5,1,3,4,2,2,4,1,7,0,3,1,1,1,15,1,2,4,2,0,11,2,1,2,8,1,5,2,6,0,1,4
18/02/2017,86,6,3,2,3,6,5,4,0,1,1,1,9,1,0,6,0,3,1,3,4,5,0,6,1,4,4,1,4,7,2,1,0,2,2
19/02/2017,48,8,0,2,0,2,1,3,0,11,2,1,1,3,2,2,0,1,1,0,0,1,0,1,0,2,1,8,0,2,0,2,3,0,4
20/02/2017,74,7,1,3,0,2,2,4,1,3,5,1,1,1,1,1,1,2,2,2,3,2,4,3,2,5,2,3,4,6,2,2,3,1,6
21/02/2017,65,7,1,2,0,1,7,3,1,3,0,2,4,4,2,0,3,1,1,3,5,4,0,4,1,1,2,3,1,2,1,0,1,2,7
22/02/2017,73,13,1,2,1,2,3,2,0,4,9,1,0,3,2,1,1,0,6,5,2,0,1,4,5,2,2,9,0,3,1,1,0,7,6
23/02/2017,95,5,3,3,0,1,3,6,1,0,0,7,1,3,4,3,1,5,2,2,6,3,1,4,8,4,3,6,2,3,1,2,4,2,6
24/02/2017,91,10,9,1,2,3,5,3,0,1,4,2,3,2,1,6,1,1,2,3,5,7,1,10,6,2,0,2,1,1,1,6,3,2,5
25/02/2017,58,4,0,1,1,3,1,3,0,2,6,4,0,7,5,3,2,0,0,0,1,0,0,1,1,5,4,2,0,0,1,5,2,2,0
26/02/2017,79,15,2,6,0,1,5,4,0,3,4,9,0,8,1,2,6,3,3,0,0,2,2,4,7,1,4,1,1,6,1,0,2,2,4
27/02/2017,95,11,0,8,3,0,5,8,0,5,7,4,4,1,0,4,1,1,3,7,4,4,1,3,6,1,4,3,2,5,0,2,3,3,4
28/02/2017,95,11,7,4,0,1,9,2,0,3,3,1,3,4,3,2,0,6,4,2,1,1,1,6,8,2,6,3,0,6,3,2,1,6,6
01/03/2017,82,11,0,2,1,3,5,3,2,2,6,4,1,0,1,3,4,6,2,3,4,4,1,3,3,3,2,0,2,7,0,4,2,3,7
02/03/2017,87,7,3,5,5,4,0,3,2,3,4,4,3,1,1,3,0,3,7,5,3,1,1,4,0,2,3,2,0,2,2,2,4,0,12
03/03/2017,84,15,4,1,0,3,8,2,3,0,4,3,1,4,2,4,3,1,3,1,4,2,3,7,4,2,1,6,0,3,5,4,3,4,4
04/03/2017,64,12,2,0,2,1,4,4,0,7,2,3,4,3,2,5,0,2,3,5,1,1,0,1,2,0,0,2,0,4,0,5,0,7,4
05/03/2017,60,7,2,5,0,3,3,3,0,1,3,5,3,5,2,1,3,3,3,0,2,4,0,0,0,1,2,2,0,1,2,3,1,1,3
06/03/2017,61,7,0,3,1,4,3,3,0,0,2,2,1,1,1,6,0,2,2,1,1,1,0,8,6,1,3,1,0,2,1,4,1,2,5
07/03/2017,66,10,2,3,1,2,3,3,1,1,2,3,5,0,4,2,0,0,3,1,3,3,0,2,4,0,5,8,0,3,1,5,1,3,2
08/03/2017,75,8,0,2,1,4,1,5,0,0,5,4,0,2,0,5,0,1,5,5,4,1,1,4,10,1,3,2,2,0,1,6,0,4,4
09/03/2017,59,15,3,0,1,1,5,3,1,2,6,2,1,3,0,1,0,0,5,4,2,2,2,4,3,1,0,1,2,0,0,8,3,3,5
10/03/2017,86,8,3,4,1,2,1,10,2,3,1,2,2,5,3,0,1,4,4,5,4,4,1,4,5,1,1,1,0,6,1,5,3,1,4
11/03/2017,62,10,3,5,3,1,3,2,0,1,3,2,1,3,2,2,1,0,4,8,1,0,0,0,0,5,1,6,3,3,0,4,1,1,3
12/03/2017,49,6,1,5,5,3,0,3,0,0,1,3,0,2,0,7,3,3,0,3,4,2,0,2,2,0,1,0,0,2,0,0,0,2,1
13/03/2017,87,17,7,11,4,4,4,4,0,3,3,2,4,3,4,3,3,2,0,3,1,5,1,1,5,1,2,2,5,4,1,2,1,2,7
14/03/2017,67,14,2,1,0,7,2,0,2,2,6,4,3,0,1,6,1,6,4,5,4,2,1,7,2,2,0,2,0,1,0,1,0,3,4
15/03/2017,93,14,2,4,0,3,0,5,1,5,7,1,1,0,2,1,4,3,5,4,3,2,3,10,3,4,3,2,3,6,1,7,3,3,6
16/03/2017,68,6,0,3,1,5,0,4,1,3,0,4,3,2,0,1,1,5,3,1,3,1,1,1,3,1,2,1,3,4,1,6,1,3,6
17/03/2017,91,17,1,6,2,2,6,8,0,9,2,2,0,3,1,5,0,4,2,3,5,5,0,6,1,0,1,3,2,8,3,5,3,9,1
18/03/2017,72,14,4,3,1,2,8,1,0,3,4,4,4,1,2,8,0,0,3,2,1,0,3,2,3,1,2,2,4,2,1,7,1,2,5
19/03/2017,43,7,3,0,1,0,6,2,0,0,1,1,5,2,0,1,0,2,0,0,0,5,0,5,0,0,2,5,0,1,1,2,1,0,4
20/03/2017,70,6,0,2,2,1,4,3,0,3,2,4,1,1,4,2,2,0,0,6,6,0,5,4,1,0,4,0,0,1,0,3,6,3,6
21/03/2017,79,12,1,6,1,1,4,7,1,5,0,5,0,1,0,4,6,1,1,2,3,2,0,6,8,0,3,2,1,5,1,2,1,2,9
22/03/2017,76,20,1,4,0,1,3,3,1,3,0,4,2,1,3,7,0,1,3,2,6,3,0,6,5,3,1,1,0,8,1,4,6,8,5
23/03/2017,78,11,4,7,2,2,2,6,0,2,1,4,1,4,3,3,0,5,5,2,2,1,1,8,2,0,3,5,0,3,0,1,0,3,7
24/03/2017,86,9,4,4,3,6,2,5,0,2,3,2,1,5,2,5,4,2,2,1,3,2,1,5,1,2,2,1,2,6,2,3,2,4,6
25/03/2017,80,20,2,2,0,4,6,3,0,2,4,3,3,5,3,3,2,2,6,3,7,4,0,4,2,3,5,2,0,5,1,2,4,3,5
26/03/2017,57,9,0,4,1,5,0,0,0,4,3,2,3,0,3,5,1,4,1,1,0,2,1,4,2,2,3,4,1,5,1,0,1,2,1
27/03/2017,82,12,3,5,4,1,4,2,0,3,2,4,3,3,5,2,0,1,9,4,4,1,2,3,1,3,3,6,2,3,1,5,2,0,3
28/03/2017,91,9,2,2,2,1,6,0,6,6,3,4,4,2,3,4,0,5,3,1,6,5,2,4,4,1,1,1,2,4,1,0,8,3,4
29/03/2017,70,14,1,2,1,4,3,3,1,2,3,6,4,1,2,6,1,3,0,3,2,3,0,3,3,2,1,4,0,3,1,2,6,3,5
30/03/2017,89,9,4,3,2,5,5,3,0,4,5,5,2,6,4,1,1,6,4,1,6,2,0,2,2,1,4,0,2,6,1,4,3,2,2
31/03/2017,94,4,1,0,0,7,0,4,0,5,5,0,4,5,2,11,1,3,2,0,2,0,3,6,3,2,5,0,0,3,3,5,2,4,10
01/04/2017,90,10,2,2,1,2,0,5,3,6,1,4,4,3,2,4,2,3,4,8,4,1,0,4,6,1,4,4,0,0,1,4,6,7,2
02/04/2017,93,7,0,9,2,5,3,1,1,6,3,11,2,1,4,0,4,3,3,7,0,3,3,6,4,1,5,0,2,2,1,0,5,0,3
03/04/2017,69,8,4,0,1,1,0,3,2,4,4,4,2,3,0,5,0,9,0,2,4,1,6,3,2,1,0,2,0,2,0,2,4,3,3
04/04/2017,62,11,2,2,2,1,3,5,1,1,4,3,1,3,2,6,1,0,3,1,6,1,1,5,1,0,4,3,0,0,0,2,1,1,7
05/04/2017,80,6,1,3,1,2,1,1,3,3,3,6,0,2,5,4,1,5,5,2,0,4,1,2,5,1,1,0,4,4,0,4,3,2,7
06/04/2017,73,11,4,1,2,3,0,5,2,2,3,2,4,1,3,3,1,0,2,4,3,1,0,7,2,1,1,3,1,4,2,9,1,3,4
07/04/2017,77,9,1,4,1,2,5,6,2,0,8,2,1,3,1,2,0,2,0,3,1,3,1,2,8,1,6,0,2,2,0,7,3,3,4
08/04/2017,107,11,4,3,2,5,0,3,1,11,3,3,6,2,4,2,5,1,6,8,2,1,2,1,6,0,4,5,0,2,1,6,3,1,15
09/04/2017,125,9,4,5,5,3,3,6,0,3,0,2,5,1,2,12,1,4,4,0,2,3,3,3,10,2,6,10,4,4,3,3,8,7,6
10/04/2017,61,3,0,3,0,4,1,0,1,1,0,2,1,3,1,0,1,5,2,2,1,1,1,1,1,2,0,1,1,5,1,7,2,10,3
11/04/2017,69,12,6,0,1,1,5,2,0,2,1,2,2,1,6,2,1,2,3,6,2,1,0,5,3,0,0,3,2,4,1,3,1,5,8
12/04/2017,66,10,1,4,0,3,3,7,0,3,2,2,2,10,2,0,0,3,0,2,2,2,2,5,2,1,2,2,2,4,0,1,3,3,1
13/04/2017,79,19,0,4,3,5,7,1,2,5,7,2,2,3,2,10,1,1,3,4,4,2,2,2,2,3,0,3,1,2,0,3,2,4,6
14/04/2017,73,4,0,1,1,2,9,5,0,4,1,3,0,3,1,6,2,2,0,2,0,2,0,4,3,4,1,3,3,1,0,5,2,1,6
15/04/2017,56,8,1,2,3,4,0,1,1,1,3,3,4,1,2,5,1,0,2,1,3,0,0,5,2,0,2,0,0,2,2,6,2,2,3
16/04/2017,70,3,3,1,0,2,0,3,1,2,3,3,2,1,3,10,2,0,6,4,1,0,0,6,3,0,0,7,1,0,0,6,0,1,2
17/04/2017,51,5,2,1,0,0,2,0,0,3,3,2,1,5,3,3,3,1,2,2,2,0,0,1,0,0,7,4,0,0,2,0,1,3,3
18/04/2017,97,12,4,4,1,8,2,2,1,1,7,6,5,2,4,2,0,0,9,5,5,2,2,3,5,0,3,3,2,5,0,2,0,7,7
19/04/2017,81,13,2,3,1,6,3,1,2,0,5,4,6,3,1,4,1,3,0,3,3,1,0,7,1,2,3,1,1,4,2,5,1,4,11
20/04/2017,86,10,3,4,2,4,2,6,3,6,9,3,3,4,5,6,2,0,0,2,3,2,2,2,0,3,2,1,1,5,0,3,0,3,5
21/04/2017,94,10,3,3,4,1,2,3,0,6,3,6,1,2,1,5,1,3,1,0,4,2,0,10,10,2,5,1,1,8,0,6,1,0,9
22/04/2017,80,15,2,1,1,3,7,1,0,7,6,7,2,1,3,2,4,0,0,1,2,4,1,6,2,1,6,2,5,3,1,5,0,6,3
23/04/2017,60,8,2,5,1,8,2,2,0,3,1,6,1,0,3,3,2,2,2,2,1,1,0,2,0,0,0,0,2,4,3,6,1,1,2
24/04/2017,100,15,6,6,3,2,0,1,0,7,7,5,2,4,5,6,3,3,2,2,4,1,2,9,2,7,2,3,0,5,3,2,2,4,5
25/04/2017,97,15,2,3,0,3,0,2,1,4,6,7,8,1,4,3,1,2,8,1,5,1,0,4,6,0,12,8,1,1,2,1,4,5,6
26/04/2017,93,14,3,3,0,2,2,1,0,4,3,4,2,7,5,3,2,0,5,5,4,2,2,5,3,1,5,2,4,3,2,3,4,11,5
